sku;colecao;categoria;subcategoria
02BL020800;AV10;Collection;Blusa
02BL020900;AV10;Collection;Blusa
02BL021000;AV10;Collection;Blusa
02BL021100;AV10;Collection;Blusa
02BL021200;AV10;Collection;Blusa
02BL021300;AV10;Collection;Blusa
02BL021400;AV10;Collection;Blusa
02BL021500;AV10;Collection;Blusa
02BL021600;AV10;Collection;Blusa
02BL021700;AV10;Collection;Blusa
02BL021800;AV10;Collection;Blusa
02BL021900;AV10;Collection;Blusa
02BL022000;AV10;Collection;Blusa
02BL022100;AV10;Collection;Blusa
02BL022200;AV10;Collection;Blusa
02BL022300;AV10;Collection;Blusa
02BL022400;AV10;Collection;Blusa
02BL022500;AV10;Collection;Blusa
02BL022600;AV10;Collection;Blusa
02BL022700;AV10;Collection;Blusa
02BL022800;AV10;Collection;Blusa
02BL022900;AV10;Collection;Blusa
02BL023000;AV10;Collection;Blusa
02BL023100;AV10;Collection;Blusa
02BL023200;AV10;Collection;Blusa
02BL023300;AV10;Collection;Blusa
02BL023400;AV10;Collection;Blusa
02BL023500;AV10;Collection;Blusa
02BL023600;AV10;Collection;Blusa
02BL023700;AV10;Collection;Blusa
02BL023800;AV10;Collection;Blusa
02BL023900;AV10;Collection;Blusa
02BL024000;AV10;Collection;Blusa
02BL024100;AV10;Collection;Blusa
02BL024200;AV10;Collection;Blusa
02BL024300;AV10;Collection;Blusa
02BL024400;AV10;Collection;Blusa
02BL024600;AV10;Collection;Blusa
02BL024700;AV10;Collection;Blusa
02BL024800;AV10;Collection;Blusa
02BL024900;AV10;Collection;Blusa
02BL025000;AV10;Collection;Blusa
02BL025100;AV10;Collection;Blusa
02BL025700;AV10;Collection;Blusa
02BL025800;AV10;Collection;Blusa
02BL025900;IN10;Collection;Blusa
02BL026000;AI10;Collection;Blusa
02BL026100;AI10;Collection;Blusa
02BL026200;AI10;Collection;Blusa
02BL026300;AI10;Collection;Blusa
02BL026400;AI10;Collection;Blusa
02BL026500;IN10;Collection;Blusa
02BL026600;AI10;Collection;Blusa
02BL026700;IN10;Collection;Blusa
02BL026800;IN10;Collection;Blusa
02BL026900;AI10;Collection;Blusa
02BL027000;AI10;Collection;Blusa
02BL027100;AI10;Collection;Blusa
02BL027200;AI10;Collection;Blusa
02BL027300;AI10;Collection;Blusa
02BL027400;AI10;Collection;Blusa
02BL027600;IN10;Collection;Blusa
02BL027700;IN10;Collection;Blusa
02BL027800;AI10;Collection;Blusa
02BL027900;IN10;Collection;Blusa
02BL028100;AI10;Collection;Blusa
02BL028200;AI10;Collection;Blusa
02BL028300;AI10;Collection;Blusa
02BL028400;AI10;Collection;Blusa
02BL028500;IN10;Collection;Blusa
02BL028600;IN10;Collection;Blusa
02BL028700;IN10;Collection;Blusa
02BL028800;AI10;Collection;Blusa
02BL028900;IN10;Collection;Blusa
02BL029000;IN10;Collection;Blusa
02BL029100;AI10;Collection;Blusa
02BL029200;IN10;Collection;Blusa
02BL029300;IN10;Collection;Camisa
02BL029400;IN10;Collection;Blusa
02BL029500;IN10;Collection;Blusa
02BL029600;AI10;Collection;Blusa
02BL029700;AI10;Collection;Blusa
02BL030200;IN10;Collection;Blusa
02BL030300;AI10;Collection;Blusa
02BL030400;IN10;Collection;Blusa
02BL030500;IN10;Collection;Blusa
02BL030600;AI10;Collection;Blusa
02BL030700;AI10;Collection;Blusa
02BL030800;AI10;Collection;Blusa
02BL030900;AI10;Collection;Blusa
02BL031000;IN10;Collection;Blusa
02BL031100;IN10;Collection;Blusa
02BL031200;IN10;Collection;Blusa
02BL031300;AI10;Collection;Blusa
02BL031400;AI10;Collection;Blusa
02BL031500;IN10;Collection;Blusa
02BL031600;IN10;Collection;Blusa
02BL031700;AI10;Collection;Blusa
02BL031800;AI10;Collection;Blusa
02BL031900;IN10;Collection;Blusa
02BL032000;AI10;Collection;Blusa
02BL032100;IN10;Collection;Blusa
02BL032200;IN10;Collection;Blusa
02BL032300;IN10;Collection;Blusa
02BL032400;IN10;Collection;Blusa
02BL032500;IN10;Collection;Blusa
02BL032600;AI10;Collection;Blusa
02BL032700;AI10;Collection;Blusa
02BL032800;IN10;Collection;Blusa
02BL032900;AI10;Collection;Blusa
02BL033000;AI10;Collection;Blusa
02BL033100;AI10;Collection;Blusa
02BL033200;IN10;Collection;Blusa
02BL033300;AI10;Collection;Blusa
02BL033400;AI10;Collection;Blusa
02BL033500;AI10;Collection;Blusa
02BL033600;IN10;Collection;Blusa
02BL033700;IN10;Collection;Blusa
02BL033800;IN10;Collection;Blusa
02BL033900;IN10;Collection;Blusa
02BL034000;IN10;Collection;Blusa
02BL034100;AI10;Collection;Blusa
02BL034200;IN10;Collection;Blusa
02BL034300;IN10;Collection;Blusa
02BL034400;IN10;Collection;Blusa
02BL034500;AI10;Collection;Blusa
02BL034600;IN10;Collection;Blusa
02BL034700;IN10;Collection;Blusa
02BL034800;AI10;Collection;Blusa
02BL034900;IN10;Collection;Blusa
02BL035000;IN10;Collection;Blusa
02BL035100;AI10;Collection;Blusa
02BL035200;AI10;Collection;Blusa
02BL035300;AI10;Collection;Regata
02BL035400;IN10;Collection;Blusa
02BL035500;IN10;Collection;Blusa
02BL035600;AI10;Collection;Blusa
02BL035900;AI10;Collection;Blusa
02BL036000;UN01;Collection;Blusa
02BL036100;VE11;Collection;Blusa
02BL036300;VE11;Collection;Blusa
02BL036400;VE11;Collection;Blusa
02BL036600;VE11;Collection;Blusa
02BL036700;VE11;Collection;Blusa
02BL036800;VE11;Collection;Blusa
02BL036900;VE11;Collection;Blusa
02BL037000;VE11;Collection;Blusa
02BL037200;VE11;Collection;Blusa
02BL037400;AT11;Collection;Blusa
02BL037500;AT11;Collection;Blusa
02BL037700;VE11;Collection;Blusa
02BL037800;VE11;Collection;Blusa
02BL037900;VE11;Collection;Blusa
02BL038000;VE11;Collection;Blusa
02BL038100;VE11;Collection;Blusa
02BL038200;VE11;Collection;Blusa
02BL038300;VE11;Collection;Blusa
02BL038400;VE11;Collection;Blusa
02BL038500;VE11;Collection;Blusa
02BL038600;VE11;Collection;Blusa
02BL038800;VE11;Collection;Blusa
02BL038900;VE11;Collection;Blusa
02BL039000;VE11;Collection;Blusa
02BL039100;VE11;Collection;Blusa
02BL039200;VE11;Collection;Blusa
02BL039300;VE11;Collection;Blusa
02BL039400;VE11;Collection;Blusa
02BL039500;VE11;Collection;Blusa
02BL039600;VE11;Collection;Blusa
02BL039700;VE11;Collection;Blusa
02BL039900;VE11;Collection;Blusa
02BL040100;VE11;Collection;Blusa
02BL040200;VE11;Collection;Blusa
